0,20,0,0,0,3000,4,0,3,4,1,0,0,1,2,3,0,2,You are eligible for a credit card.
0,22,0,0,0,7200,4,1,3,4,1,0,0,1,1,3,0,0,You are eligible for a credit card.
0,22,0,0,0,300,3,0,3,4,1,0,0,1,1,0,0,0,You are eligible for a credit card.
0,18,0,0,0,500,3,1,3,4,1,0,0,1,1,0,0,0,You are eligible for a credit card.
0,29,0,0,0,0,3,0,3,4,1,0,0,1,5,0,0,0,You are not eligible for a credit card.
0,22,0,0,0,24000,4,0,3,5,1,0,1,1,2,1,0,1,You are eligible for a credit card.
0,22,0,0,0,3500,4,1,3,5,1,0,1,1,4,5,0,1,You are eligible for a credit card.
0,25,0,0,0,25440,4,1,3,4,1,0,0,1,3,1,1,2,You are eligible for a credit card.
1,24,1,0,0,25000,4,0,3,4,1,0,0,1,4,1,0,0,You are eligible for a credit card.
0,25,0,0,0,9000,3,0,3,0,1,0,0,1,5,8,0,1,You are eligible for a credit card.
0,22,0,0,0,9600,3,1,3,4,1,0,0,1,0,3,0,0,You are eligible for a credit card.
0,22,0,0,0,500,3,0,3,1,1,0,1,1,4,0,0,1,You are eligible for a credit card.
0,20,0,0,0,0,3,1,3,5,1,0,0,1,5,0,0,0,You are not eligible for a credit card.
0,21,0,0,0,4800,3,1,3,4,1,0,0,1,4,0,0,0,You are eligible for a credit card.
1,22,0,0,0,23000,4,0,3,1,1,0,0,1,5,2,0,0,You are eligible for a credit card.
0,28,0,0,0,60000,4,0,3,4,1,0,0,1,1,5,0,0,You are eligible for a credit card.
